name,date,color,message
Ryder,June 30 2020,Army Green,Youll probably never see this\\n\n
Carly Martinez,June 30 2020,Light Pink,Ive never loved anyone as much as i love you \\\\n\\r\\n\r\n
j,June 30 2020,Yellow,you are special to me. i hope i am to you too.\\\\n\\r\\n\r\n
jason d,June 30 2020,Dark Purple,god i could cry all night thinking ab u bunny. i dont think u could comprehend how much i loved u n still do. i just wish we had the chance to meet. i wonder if u still want to. but youve been so distant\\n\n
T,June 30 2020,Pale Pink,i need you to understand i deserve much better\\\\n\\r\\n\r\n
tay /:,June 30 2020,Purple,i still love you\\n\n
Kyle,June 30 2020,Black,I will never forgive you for what you did. Never\\\\n\\r\\n\r\n
Rock (lol),June 30 2020,Black,I dont know if I like you\\\\\\\\nbut I would like to get to know you better to find out \\\\n\\r\\n\r\n
Sebastian,June 30 2020,Light Blue,I wish I was enough for you and Im sorry for I put you through\\n\n
edgar manuel carrillo,June 30 2020,Purple,to my baby i love you so much and i promise you everthing and will always be there even if we get into the worst of arguments ur still mine. ur my world and have my whole heart and i cant imagine a world without you. you waited and i waited till we were ready for eachother and ur my soulmate no matter what\\\\n\\r\\n\r\n
jackson,June 30 2020,Yellow,you are kind and handso\\\\n\\r\\n\r\n
palmer,June 30 2020,Black,i got your vm back in march\\n\n
Aiden,June 30 2020,Dark Blue,You are the person that pops up in my head when I read those Pinterest posts.\\\\n\\r\\n\r\n
Haylee,June 30 2020,Light Grey,haylee\\n\n
Todd H.,June 30 2020,Dark Green,I have never felt that way about anyone. I really liked you. You couldnt have just told me how you actual felt\\n\n
Cristian,June 30 2020,Light Pink,you make me feel alive. i want to spend my days with you. lets go see the world\\\\n\\r\\n\r\n
cayden,June 30 2020,Army Green,i want this to work. i can see myself having the brightest future with you.you just have to want the same.\\\\n\\r\\n\r\n
k,June 30 2020,Red,i hope whenever you listen to our song\\n\n
k,June 30 2020,Red,sometimes i sit in my room and put our song on repeat and just cry.\\\\n\\r\\n\r\n
Joleyna,June 30 2020,Yellow,you are my best friend. i couldnt live life if it wasnt for you.\\\\n\\r\\n\r\n
nan,June 30 2020,Pale Purple,would it have worked if i was allowed?\\\\n\\r\\n\r\n
max,June 30 2020,Pale Blue,fuck you. u literally destroyed me. u were the reason that my mental health went to shit. ur awful and i hope u choke on whale cum\\\\n\\r\\n\r\n
Evan,June 30 2020,Yellow,you broke my heart. you told me i was worthy\\n\n
Shawn,June 30 2020,Light Orange,I dont cry about you anymore.\\\\n\\r\\n\r\n
ugnius,June 30 2020,Black,maybe that wasnt you\\\\n\\r\\n\r\n
Patrick,June 30 2020,Light Green,Where did we go wrong ??\\\\n\\r\\n\r\n
Stanley G,June 30 2020,Yellow,I will love you forever and always. Till the day we get married and grow old together.\\\\n\\r\\n\r\n
Maddie,June 30 2020,Light Blue,ik u probably dont like me\\n\n
trey,June 30 2020,Black,hey. i know we havent talked in a while and i know i annoy you. but we havent seen each other in over 6 years. i miss you. -em\\\\n\\r\\n\r\n
Joel,June 30 2020,Black,You were my first love.\\\\n\\r\\n\r\n
arturo,June 30 2020,Black,i used to be so scared of forever. but then i realized that forever without you was even scarier..\\\\n\\r\\n\r\n
Mason,June 30 2020,Light Orange,Its scary because I already have so much love for you but I cant let you know yet.\\\\n\\r\\n\r\n
myself :(,June 30 2020,Black,am i ever going to be enough? i feel numb\\n\n
ian,June 30 2020,Brown,im using brown because its the least used color and i want you to see my message. ive loved you for three years and i just want you to know. i love you.\\\\n\\r\\n\r\n
Izzy L,June 30 2020,Black,hey. its been a while. i miss you so much. i hope everything is going okay in CT. teme or something. i miss my bestfriend. -em\\\\n\\r\\n\r\n
jason d,June 30 2020,Dark Purple,i miss u so much today. its probably because we talked a little but god. all i want is u. but i think today i realize u dont want me back anymore. it really sucks because 4 weeks ago u told me u still loved me then i never heard for u again. this really sucks. i wish i didnt get so attached n listened to my head then i thought this boy is gonna mentally fucked me up\\\\n\\r\\n\r\n
bella,June 30 2020,Maroon,hi ur cute hmu if u wanna listen to clairo sometime\\\\n\\r\\n\r\n
Alyson,June 30 2020,Pale Blue,U hurt me. And you dont even know it.\\\\n\\r\\n\r\n
kate,June 30 2020,Yellow,i look for you in everyone\\\\n\\r\\n\r\n
Langston,June 30 2020,Dark Blue,Remember when you asked if I could come meet you at a couple places to help you pick out things for your new place? I couldnt because I was hurting myself. Im still hurting myself because Im no longer happy. I cant imagine myself happy without you.\\\\\\\\nGod\\n\n
emma,June 30 2020,Peach,u never snapped me in the morning  i want to know if it was all in my head\\\\n\\r\\n\r\n
Cassidy K,June 30 2020,Blue,It was for you mental health I was just someone you couldnt trust with your heart . I told you that if you found someone else i would be completely fine with that and you responded so happily that I didnt know how to act. I miss you more than  words can say and i will always love you and nothing will ever change that even though we may become distant my love and respect for you will never change. Bye Bubs.\\\\n\\r\\n\r\n
Jamal,June 30 2020,Dark Purple,Sometimes I ask myself\\n\n
emma,June 30 2020,Light Pink,u were my first girl crush and i didnt notice it then but im pretty sure i liked you. i used to think ab cuddling w you and i kinda wish we could be rn. ik ur straight tho so its all good. i hope u enjoy ur life\\n\n
d4d,June 30 2020,Light Purple,i love you cause ur my father. but ur homophobic\\n\n
Kyle M.,June 30 2020,Grey,I miss you. I feel pathetic wanting you to take me back again\\n\n
Hannah,June 30 2020,Light Pink,If it wasnt for quarantine\\n\n
JuicyJuiceHypotenuse,June 30 2020,Light Purple,I never knew a breakup would hurt me this bad. I feel completely broken as though my heart is being ripped into pieces. I wish I was the one and could change your mind. I just miss everything so much and I dont understand why. I have never hated myself so much over something. I ruined everything and being friends feels completely unbearable. Every time Im around you I feel my heartache for something more than just a friendly time. Nothing I do is ever good enough. My life feels empty and disgusting without you. I know its not your fault yet I still feel the need to hate you because I just fucking wish you would love me back. But I cant blame you. You cant control how you feel\\n\n
Lamia,June 30 2020,Yellow,You are a Phoeniaising from its ashes and you know it. Always remember no one can put you down.\\\\n\\r\\n\r\n
Maddi3 Cs Dad,June 30 2020,Maroon,STOP BEING HOMOPHOBIC AND A TRUMP SUPPORTER AND RACIST YOU DUMB PEICE OF FUCKING SHIT\\\\n\\r\\n\r\n
maddie,June 30 2020,Light Green,wish we were still friends. call me anytime ill answer -kayla\\\\n\\r\\n\r\n
ripley,June 30 2020,Light Purple,i sent u some stuff when we got into that argument under your nickname that only i know about.furry ass hoe\\\\n\\r\\n\r\n
A,June 30 2020,Light Pink,You hurt me as bad as Ive ever before\\n\n
Leo,June 30 2020,Black,You wasted my time. I hate that I ever apologized\\n\n
b,June 30 2020,Peach,i want to back it up to september 2019 and start all over. i would make sure i never lost you\\\\n\\r\\n\r\n
ian,June 30 2020,Light Blue,This one is for the boys with the booming system\\\\\\\\nTop down\\n\n
Elisha,June 30 2020,Black,Thank you for lying to me\\n\n
Antonio Cruz,June 30 2020,Yellow,Youve made my life better and happier since becoming mine.  Whoever you end up with will be one of the luckiest people ever.\\\\n\\r\\n\r\n
gina,June 30 2020,Pale Pink,i wish i could b there for you but you changed so fast\\\\n\\r\\n\r\n
Hudson,June 30 2020,Grey,I regret not saying yes to you when you asked me out when we first met\\n\n
riley,June 30 2020,Light Blue,This one is for the boys with the booming system\\\\\\\\nTop down\\n\n
C,June 30 2020,Pale Blue,We never dated\\n\n
jd,June 30 2020,Pale Blue,i moved on. it was hard\\n\n
ian,June 30 2020,Yellow,ive been in love with you for three years. i always wonder what would have happened if we just hung out one time before you fell for her. i hate myself for still thinking about you. i know i shouldnt\\n\n
sophia,June 30 2020,Light Blue,youre my best friend and i cant thank you enough for everything you have done for me\\\\n\\r\\n\r\n
Ernesto,June 30 2020,Black,Thank you for those five years\\n\n
Aaron Tyler,June 30 2020,Red,The only consistent thing youve done in my life is leave me. I wish I didnt love you. I miss you. Come back.\\\\n\\r\\n\r\n
brianna,June 30 2020,Yellow,kinda wanna fall asleep in your arms and play w ur curls rn\\\\n\\r\\n\r\n
ryan,June 30 2020,Dark Green,we only hooked up once and were  only friends now but i care for you so much and i wish we could be more\\\\n\\r\\n\r\n
Anthony,June 30 2020,Purple,Im sorry for ever liking you. We met at the wrong time\\n\n
zach,June 30 2020,Black,you did everything you promised you never would & you left me but i still want the best for you and love you so much.\\\\n\\r\\n\r\n
Evan,June 30 2020,Black,I didnt give you a closure bc you dont deserve one.\\\\\\\\nHonestly it was the best punishment for ghosting someone who tried to make u a better person. Im not even mad cuz I still see u as a 13 years old boy\\n\n
N,June 30 2020,Pale Purple,We never dated but you always looked past me\\n\n
adrian m,June 30 2020,Light Purple,ik youve already given me so many chances\\n\n
mason,June 30 2020,Pale Blue,youll never see this but i know you will come back and you will change. I speak this into etence.\\\\n\\r\\n\r\n
kate,June 30 2020,Green,rot in hell bitch\\\\n\\r\\n\r\n
Annalise T,June 30 2020,Turquoise,im not gonna forgive you. you treated me like shit for a long time. stop trying to get back into the friend group. they might accept  you\\n\n
wayman,June 30 2020,Black,you made me put on a smile in front of my rapist. how was my pain so invisible to you?\\\\n\\r\\n\r\n
Marc,June 30 2020,Light Blue,Why wasnt I good enough? what did you see in her and not me?\\\\n\\r\\n\r\n
noah j cote,June 30 2020,Red,hey baby uhh this isnt the first unsent teive ever not? sent to u if that makes sense haha meaning on the site. i wish i wouldve submitted them here but all of them ive typed up and just deleted yk? anyways i just wanna let u know that i really fucking love you like i really do care so much & im thankful that youre in my life. you make me feel like a better person everyday and i appreciate a LOT. idk where id be without u bubs. obviously youre not gonna see this but its okie. im eted for our future together. its been 4 months with you!!! the person i think will stick with me for the rest of our lives. ah!!! forever is forever\\\\n\\r\\n\r\n
Earth,June 30 2020,Dark Green,Please stay. I wish you stayed. But life doesnt work that way and I just hope youre happy.\\\\n\\r\\n\r\n
kara,June 30 2020,Purple,sometimes i think ab the words you said and it still stings\\\\n\\r\\n\r\n
Cameron,June 30 2020,Dark Blue,You made me so happy and I miss that happiness. I know were still friends but you have a girlfriend now and I just really want to meet you. I wish you didnt live across the country.\\\\n\\r\\n\r\n
kara,June 30 2020,Light Purple,i wish you could understand me better. im rly trying here but i feel like you arent. i guess im asking for too much\\\\n\\r\\n\r\n
shane,June 30 2020,Red,why did you unadd me? did you add me by accident in the first place? if so why did you decide to take it back? we couldve been friends or more.\\\\n\\r\\n\r\n
Blaze,June 30 2020,Pale Pink,I loved you more than I loved myself I learned to love me but I never stopped loving you.\\\\n\\r\\n\r\n
ben,June 30 2020,Peach,my mom still thinks were meant to be.\\\\\\\\ni wish we were.\\\\n\\r\\n\r\n
N,June 30 2020,Light Green,i read these and cried because i never want to loose u and now i cant sleep\\\\n\\r\\n\r\n
Emily ,June 17 2020,Pink,I love anime and also you\\\\\\\\n(no homo tho)\\\\\\\\n but maybe homo if you want\\\\n\\r\\n\r\n
Caoimhe,June 17 2020,Light Purple,Were just two selesbians arent we?\\\\n\\r\\n\r\n
jack,June 17 2020,Yellow,the thought of you made me smile. but i feel like you were always lying to yourself about how you really felt for me\\\\n\\r\\n\r\n
caleb,June 17 2020,Maroon,you treated me like shit. grow up dont be insecure\\\\n\\r\\n\r\n
hunter,June 17 2020,Black,you can disrespect me all you want\\n\n
my little mean.,June 17 2020,Black,bro you smell. so do i am gonna be like a lingering smell your gonna have to carry around until we are like 100 that assuming i dont kms :)))))\\\\n\\r\\n\r\n
A.H.,June 17 2020,Light Purple,You used my body and showed me fake love. I just wish you wouldve given me a better eanation..\\\\n\\r\\n\r\n
Zarin,June 17 2020,Light Pink,You deserve the whole world and more! You are such a beautiful person\\n\n
Keaton F,June 17 2020,Pale Blue,i like you a lot. to be honest\\n\n
mikey,June 17 2020,Maroon,i could have loved you if you let me.\\\\n\\r\\n\r\n
elvin,June 17 2020,Light Green,bahaha\\n\n
Obond,June 17 2020,Dark Blue,you broke my heart\\n\n
Caoimhe,June 17 2020,Black,Also youre amazing and I love you and I dont know what I would do without you\\\\n\\r\\n\r\n
Kolton C,June 17 2020,Black,You refused to see me until I was who you wanted me to be\\\\n\\r\\n\r\n
Joseph,June 17 2020,Pale Blue,Im sorry for all the pain I caused you. I was dumb and I didnt realize how bad it would hurt. I miss being your friend.\\\\n\\r\\n\r\n
Yohan,June 17 2020,Dark Blue,Im so sorry. I couldnt come to terms with my own feelings and ended up hurting you in the process. I put you through so much unnecessary hurt because I was too scarred to be honest. Well\\n\n
Jakob,June 17 2020,Purple,Id given up on love until you showed up. Convinced myself I was meant to standby and watch my friends progress in life. But you changed my mind. Je taime xx\\\\n\\r\\n\r\n
Avery,June 17 2020,Light Green,miss you bae o\\\\\\\\nmy love for u is like reigen arataka\\n\n
Dylan,June 17 2020,Yellow,You always had that giant horsecock and really cool shoes.\\\\n\\r\\n\r\n
Jesus,June 17 2020,Pink,You hurt me really bad and put me through so much and i was always there for you but you were never there for me. I wish I was enough for you and I wish you wouldve seen how much i loved you. I always loved you but you never realized it. I still love you\\\\n\\r\\n\r\n
emily perinovic,June 17 2020,Blue,i hope u drown \\\\n\\r\\n\r\n
Y/N,June 17 2020,Black,Sometimes I wish I could go back and fill the things I messed up on. I wish I could see where wed be today if nothing had ever gone wrong.\\\\n\\r\\n\r\n
ash,June 17 2020,Army Green,im so mad at u for doing what you did with one of my friends. you made me feel so small\\n\n
Deacon,June 17 2020,Light Green,Fuck you. You know how hard it was for me to open up to you and tell you why I ran. But you ignored me. Then blamed everything that happened on me. I apologized and said it wasnt your fault just because I was scared of what you would say if I told the truth. Well Im not scared anymore. -R\\\\n\\r\\n\r\n
D,June 17 2020,Yellow,I thought you rejecting me would be the end of our friendship. But it wasnt. You are now one of my only friends and I would not trade that for something more. I  love you. And thankfully\\n\n
Max,June 17 2020,Blue,Not a day goes by where I dont think of you. I will always love you.\\\\n\\r\\n\r\n
Ryan,June 17 2020,Black,was I simply not good enough for u anymore? is that why u chose her and not me again\\\\n\\r\\n\r\n
you,June 17 2020,Pale Blue,youre beautiful\\n\n
alex,June 17 2020,Black,hi I miss teng you everyday. I cant stop thinking about you and all the songs I listen to just remind me more and more of you. Im sorry I never ted back\\\\n\\r\\n\r\n
Keiran,June 17 2020,Light Blue,Im not sure where I went wrong but nothing feels the same anymore. I know we never dated but sometimes the\\n\n
jayden,June 17 2020,Pink,two years of my life wasted on liking you. silly me\\\\n\\r\\n\r\n
eve,June 17 2020,Yellow,ill always have feelings for you\\n\n
emily,June 17 2020,Black,i love you so much. you are one of the strongest most amazing women i know  please never forget how much i love you and how much everyone does. i never want to loose you from my life love you hoe \\\\n\\r\\n\r\n
Ayden,June 17 2020,Yellow,Our relationship was very to but i was too head over heals to realize the pain you put me through.\\\\n\\r\\n\r\n
T,June 17 2020,Red,i love you. i love everything about you. youre perfect. you dont think the same about me anymore but i will be there for you. forever.\\\\n\\r\\n\r\n
elijah,June 17 2020,Maroon,we always talked about getting married even tho youd always leave and come back maybe it was bc we are too young-kayla\\\\n\\r\\n\r\n
brian,June 17 2020,Army Green,i thought i found my soulmate but i felt that you were ashamed to be with me. why didnt you just tell me? i hope you are happier now.\\\\n\\r\\n\r\n
Sally,June 17 2020,Blue Grey,i just wish we could back to when everything was perfectly fine and how we would just talk about anything. you were the greatest thing that happened. take care of yourself.\\\\n\\r\\n\r\n
warren,June 17 2020,Pale Purple,if i wasnt what you wanted you shouldve left me alone\\\\n\\r\\n\r\n
David,June 17 2020,Light Purple,I wish you told me you felt the same way\\n\n
Alex,June 17 2020,Orange,Im so sorry that I hurt you. I said I wouldnt leave and I did. I hope youre okay.\\\\n\\r\\n\r\n
Sebastian,June 17 2020,Black,it was always one sided. id do anything for you to love me the way i love you\\\\n\\r\\n\r\n
Kyan,June 17 2020,Pale Purple,hey \\\\\\\\nI dont even know if I could classify this as my first love since we havent dated\\n\n
Ross,June 17 2020,Pale Purple,I did you wrong\\n\n
Hunter,June 17 2020,Red,You were my first boyfriend and I couldnt have asked for a better one. I know we ended badly and had our share of fights\\n\n
Garret,June 17 2020,Light Green,How can you drop your first love like it was nothing\\n\n
Tanner W.,June 17 2020,Light Purple,Even when you left me I still loved you I couldnt forget those times youve made me feel secure\\n\n
Nathan,June 17 2020,Yellow,you showed me love. now Im scared for someone to fall out of it again.\\\\n\\r\\n\r\n
JP,June 17 2020,Dark Purple,Neither of us were in the right head space but Ive never felt so strongly about a connection. I still feel you from a distance and I hope you heal.\\\\n\\r\\n\r\n
Rosie,June 17 2020,Dark Green,Miss you\\n\n
Dashaun,June 17 2020,Black,You hurt me\\n\n
Kate,June 17 2020,Pale Blue,I never thought that my bestfriend would be the first person to break my heart. I miss you so much everyday and I cant bring myself to take our picture off my wall\\\\n\\r\\n\r\n
Courtney,June 17 2020,Orange,Courtney thank you for giving me some of the best months of my life and for showing me that I am capable of loving someone. But I never told you I know you cheated on me after we got back together and I probably never will.\\\\n\\r\\n\r\n
dominic,June 17 2020,Tangerine,you taught me a lot in life when you were with me and not a day goes by that i dont think of you because the smallest things  remind me of you i miss you more then words can eain till we meet again.\\\\n\\r\\n\r\n
Kaan,June 17 2020,Dark Blue,I see your self destructive behavior and blame myself for it. Im sorry for everything. I still care about you.\\\\n\\r\\n\r\n
Mikey,June 17 2020,Black,you only used me for sex.\\\\n\\r\\n\r\n
Steve,June 17 2020,Light Orange,I hope it is meant to be with us\\n\n
Alex,June 17 2020,Light Orange,I fell in love with u too quick. And then I forced myself to move on because I couldnt bare the pain. Doesnt mean I forgot you\\\\n\\r\\n\r\n
tall boy,June 17 2020,Army Green,Remember when we sat on top of my car just looking out at the empty parking lot enjoying each others company? I hope your doing ok since the last time we spoke. I want you to know I miss you and will never not regret not telling you how much I loved you.\\\\n\\r\\n\r\n
james,June 17 2020,Black,i dont understand why you hit me and abused me and lied about it over and over again\\\\n\\r\\n\r\n
Elise,June 17 2020,Black,you never thought about the fact it would hurt me. which is what made it so much more painful\\\\n\\r\\n\r\n
mattie L.,June 17 2020,Yellow,you were magic. ive never met anybody else that was even half of what you were and i dont think i will ever again. how things ended was my fault and i blamed it on you. this feeling you give me is indescribable and i wish it fades. i let you slip away\\\\n\\r\\n\r\n
Kyle,June 17 2020,Dark Green,I am so fucking glad I am over you.\\\\n\\r\\n\r\n
marco,June 17 2020,Dark Green,i gave you a million chances. if you really cared you would have left her. you ruined so much in my life and you keep coming back to haunt me. we should have just stayed friends ()\\\\n\\r\\n\r\n
J,June 17 2020,Black,I really loved you\\n\n
Joey,June 17 2020,Red,You were a good friend before I told you I liked you and I regret now because i miss you and i miss the days when you were kinder and nicer.\\\\n\\r\\n\r\n
jackson,June 17 2020,Pale Blue,I dont think our old convos much interest you anymore because you never respond but its worth a try right?\\\\n\\r\\n\r\n
latrell,June 17 2020,Black,i wish you knew how much i love you\\\\n\\r\\n\r\n
Max,June 17 2020,Army Green,You tell me that you wont hurt me and that you want a future with me\\n\n
Malique,June 17 2020,Green,You are an asshole. I never wanted to send those pics. You ruined my innocence. AND YOU HAD A FUCKING GIRLFRIEND\\\\n\\r\\n\r\n
RT,June 17 2020,White,We could have been soulmates\\n\n
Tejay,June 17 2020,Dark Blue,You really give the best hugs \\\\n\\r\\n\r\n
nikco,June 17 2020,Black,how dare you cheat on me\\n\n
Hayden,June 17 2020,Light Blue,Ive liked you for so long\\n\n
Hunter,June 17 2020,Light Blue,There is so much to say. You were my everything and you broke me. Im different now\\n\n
Lara S,June 17 2020,Yellow,I hope you find this and I hope we find roast and bolt together too \\\\n\\r\\n\r\n
Sarah g,June 17 2020,Light Purple,I dont think Ill ever be over you for good. you make me feel at home and I threw that away. Im sorry for hurting you back then and if I could go back in time to change what happened\\n\n
Lara S,June 17 2020,Yellow,I hope you find this and I hope we find roast and bolt together too \\\\n\\r\\n\r\n
Catalina,June 17 2020,Light Purple,Stop constantly degrading yourself bitch\\n\n
Enya Ho,June 17 2020,Dark Purple,You changed me\\\\n\\r\\n\r\n
j,June 17 2020,Black,did you ever really care? what do you really think of me these days? we talk now like nothing at all happened four years ago. maybe its because nothing did.\\\\n\\r\\n\r\n
Mitch,June 17 2020,Light Blue,I dont think Ill ever find someone that will treat me as well as you did or love me like you did.\\\\n\\r\\n\r\n
My first love,June 17 2020,Pale Blue,Why did you take advantage of me for years without guilt?\\\\n\\r\\n\r\n
abbi,June 17 2020,Yellow,i think im in love with you\\n\n
Brody,June 17 2020,Red,weve known each other for so long yet sometimes it feels like were strangers. ive always cared about you in the most genuine way possible yet you treat me like shit. i dont know how to feel about you anymore. whats worse is i dont know how you feel about me. the things you said to me left me in tears sometimes but youll never know that. i know you wont feel responsible if something were to happen to me. that makes me happy. because the last thing I want to do is hurt you even though you hurt me. ill be by your side until one day it becomes too much. I know youll probably never see this but I really care about you. try not to think of me too much when Im gone.\\\\n\\r\\n\r\n
Lukas,June 17 2020,Dark Blue,I never fully admitted that I like you but I do and I dont know how to tell you youve were a friend of my brothers before you and me were sorta friends and i dont know if you like me back i wish you would just teme and tell me you do\\\\n\\r\\n\r\n
Michael,June 17 2020,Yellow,So uh sorry about that i didnt know you were my cousin\\\\n\\r\\n\r\n
Leo K,June 17 2020,Peach,Tbh I really did like you. We vibed (well i thought we did) if you see this I love you Leo. Youre literally the only boy Ive actually liked.\\\\n\\r\\n\r\n
Dylan,June 17 2020,Light Blue,You were my first love. I miss you. I wish I meant more to you. Please treat her much better than you treated me. No one deserves to feel the way you made me. Hope youre doing well.\\\\n\\r\\n\r\n
Cody,June 17 2020,Wine,It was both our faults we fell apart tragically. It went on longer than it should have. We were too scared to let go.\\\\n\\r\\n\r\n
Cade,June 17 2020,Pale Purple,all i wanted was to be yours\\n\n
Taylor S,June 17 2020,Black,I used to never drink\\n\n
Karl,June 17 2020,Black,I liked you for 3 years and you liked me back but you waited to long and i moved on before you asked me out if only you asked me out 2 months earlier.\\\\n\\r\\n\r\n
gryphon lyttleton,June 17 2020,Purple,i still love you\\n\n
Kara,June 17 2020,Pale Pink,im too afraid to tell you how i feel because i dont want to ruin our friendship. i wish you felt the same but i wont be able to tell because i cant ruin one of the friendships that means so much to me over stupid feelings. -k\\\\n\\r\\n\r\n
Ashley,June 17 2020,Maroon,I know are kiss means nothing to you\\n\n
Rudy,June 17 2020,Pale Blue,I honestly dont know if I like you or not. I still think about you and even with what happens when I thought I moved on I still got butterflies when I talked to you. I liked you for two years and I thought it would be a lot easier to get over you but nope. I still think about you at night and sometimes and I know I shouldnt but I cant help it. And now that I know you thought I was pretty that just makes me want to fall harder but I cant. But I need to let go but its hard. Over time Ill get over you but till then I still think about you. I would still want to be friends and I hope you do too. And thanks for the compliment:)\\\\n\\r\\n\r\n
Caden,June 17 2020,Purple,I miss you so much and I still love you. But you not loving me back was the first step to loving myself. -S\\\\n\\r\\n\r\n
Kayla,June 17 2020,Red,You might not get this Kayla but you seem like we really nice girl\\\\n\\r\\n\r\n
dad,June 17 2020,Black,youre so selfish\\\\n\\r\\n\r\n
Tilly Perkins,June 17 2020,Light Pink,I need you more than ever right now\\n\n
Lilah,June 17 2020,Green,Youre a nasty and shallow bitch and even youve know it. I will never forgive you and you can pretend all you want to be nice but youre a nasty ass\\n\n
Christopher,June 17 2020,Light Grey,You saved my life and I dont want to think about what will happen to me when you leave\\\\n\\r\\n\r\n
Nathaniel,June 17 2020,Light Green,you begged me not to ever forget you. little do you know i never will.\\\\n\\r\\n\r\n
Christian,June 17 2020,Red,I wish I was the girl you wanted instead of the girl you got.\\\\n\\r\\n\r\n
Tyler L,June 17 2020,Blue,Thank you for being the most amazing person Ive ever met. Ill love you forever.\\\\n\\r\\n\r\n
?,June 17 2020,Yellow,I cant wait to find you. Xx\\\\n\\r\\n\r\n
ryan q,June 17 2020,Red,i love u sm but the relationship was so to\\n\n
Leah P,June 17 2020,Pale Blue,leah you are still my best friend\\n\n
spencer,June 17 2020,Light Blue,you were the first guy who accepted me as gay and trans\\n\n
ryan q,June 17 2020,Red,i love u sm but the relationship was so to\\n\n
evan,June 17 2020,Army Green,thanks for being there im sorry i didnt do anything for you i wish i could find it in myself to like you but i cant. youre such a god person i just cant love you the way you love me.\\\\n\\r\\n\r\n
kami,June 17 2020,Red,you were my first love. You helped me realize what love really is. Yet you broke me. I understand you needed time. I said i would wait and i have. But i cant wait forever for someone who doesnt want me. Im done waiting and chasing you\\n\n
Evan,June 17 2020,Light Blue,i liked u in 8th grade and im not even sure if u knew \\\\n\\r\\n\r\n
Vaish,June 17 2020,Pale Pink,I wish we could go back in time and spend another second in Mcdonalds. I took those days for granted. I miss you and our long talks.\\\\n\\r\\n\r\n
Will,June 17 2020,Light Blue,Ive loved you for so long and you will never like me but ill keep dreaming and dreaming until the day we find other people and totally forget about each other .\\\\n\\r\\n\r\n
Ivan,June 17 2020,Light Blue,I dont understand why you only cared when it was about my body.\\\\n\\r\\n\r\n
Ash,June 17 2020,Black,Wow ur peng ini\\\\n\\r\\n\r\n
Shane,June 17 2020,Light Green,She better not hurt you\\\\n\\r\\n\r\n
Lauren Clearwater,June 17 2020,Pale Blue,Im so sorry your domain ventures got stuck today much luv\\\\n\\r\\n\r\n
Saniyah,June 17 2020,Pale Pink,You are very annoying!!\\\\\\\\nIm jk you are my fcm and I am really happy we become friends urm I dont really know what to write but yeh lets hope you are bothered to search your name \\\\n\\r\\n\r\n
P,June 17 2020,Pale Blue,Even though I never told you how I felt\\n\n
charlie,June 17 2020,Red,i changed your name to charles in my phone so i would stop being attracted to you it totally worked!\\\\n\\r\\n\r\n
Carter,June 17 2020,Light Purple,i really liked you\\n\n
aidan,June 17 2020,Pink,idk why i cant stop thinking about you\\\\n\\r\\n\r\n
Coleton E.,June 17 2020,Dark Purple,I know you dont like me but you are always in my head I love you!\\\\n\\r\\n\r\n
Mikayla,June 17 2020,Black,you were probably the most to bitch in my life and im so glad we fell out. hope you drown in a lake\\\\n\\r\\n\r\n
you,June 17 2020,Pale Pink,I wish i was good enough but i wasnt. I will never be enough for anyone.\\\\n\\r\\n\r\n
Fiona,June 17 2020,Pale Blue,you hurt me\\n\n
joey,June 17 2020,Pink,i liked u a lil bit in 8th grade then when I found out my friend liked you I stopped liking you. also\\n\n
Gentry,June 17 2020,Orange,I was so in love with you. Yet you still broke my heart.\\\\n\\r\\n\r\n
cal,June 17 2020,Black,you fucked me over big time but i would give u my heart again anytime you want\\\\n\\r\\n\r\n
ashton,June 17 2020,Turquoise,Im sorry I wasnt enough for you\\n\n
dylan,June 17 2020,Black,you deserve better than me. thats why I have to do it..\\\\n\\r\\n\r\n
Jack,June 17 2020,Dark Blue,Im sorry\\n\n
Bryanna Morales,June 17 2020,Black,if you unblock naz one more time im gonna shove simba up ur @$$- b\\\\n\\r\\n\r\n
evan,June 17 2020,Yellow,i miss you. i know that were still friends and youre still in my life\\n\n
My first love,June 17 2020,Light Blue,Although i hate this saying\\n\n
SG,June 17 2020,Pale Blue,I wish u still cared about me like I care about u\\\\n\\r\\n\r\n
C,June 17 2020,Light Purple,I needed you to leave so I could learn to love myself. But now\\n\n
seanMW,June 17 2020,Light Pink,i loved how you would always stare and smile when you seen me\\n\n
Cameron,June 17 2020,Red,i dont think ive ever felt more hurt than when i had to pretend i wasnt in love with you because youre with her\\\\n\\r\\n\r\n
Bee,June 17 2020,Black,Im not gay\\n\n
rak,June 17 2020,Red,you were so cocky. u werent even cute and had the worst personality\\n\n
jessi c,June 17 2020,Pale Pink,i hope you love life as much as i do right now. ill check back in a year. from yourself \\\\n\\r\\n\r\n
Chris,June 17 2020,Light Pink,you broke my heart. you were my bestfriend. now i feel like i cant love anyone else.\\\\n\\r\\n\r\n
Tommy,June 17 2020,Dark Blue,i still wish you could hear the way i talk about you. i miss u.\\\\n\\r\\n\r\n
emma,June 17 2020,Pale Purple,sorry i was focusing on my mental health and not your issues\\\\n\\r\\n\r\n
Eirin,June 17 2020,Pale Blue,I fell in love with you under The Bridge. We got married there. I wish I could have been brave enough to kiss you that day. And Im still working up the courage now.\\\\n\\r\\n\r\n
